exchange,uptake
EX_fe3_e,10
EX_h2_e,10
EX_h2o_e,10
EX_h2s_e,10
EX_h_e,10
EX_k_e,10
EX_mg2_e,10
EX_mn2_e,10
EX_n2o_e,10
EX_nh4_e,10
EX_no2_e,10
EX_no3_e,10
EX_no_e,10
EX_o2_e,10
EX_pi_e,10
EX_s_e,10
EX_so3_e,10
EX_so4_e,10
EX_tet_e,10
EX_tnt_e,10
EX_tsul_e,10
EX_zn2_e,10
EX_cl_e, 10
EX_na1_e, 10
