exchange,growth,uptake
EX_cs_c_e,no,0
EX_dextrin_e,yes,10
EX_glycogen_e,no,0
EX_mannan_e,no,0
EX_pectin_e,yes,10
EX_acgal_e,yes,10
EX_acnam_e,no,0
EX_arab__D_e,no,0
EX_abt__D_e,yes,10
EX_abt__L_e,no,0
EX_arbt_e,yes,10
EX_drib_e,no,0
EX_madg_e,yes,10
EX_pala_e,yes,10
EX_raffin_e,yes,10
EX_salcn_e,yes,10
EX_srb__L_e,no,0
EX_stys_e,yes,10
EX_tag__D_e,no,0
EX_xylt_e,yes,10
EX_but_e,no,0
EX_dca_e,no,0
EX_hxa_e,no,0
EX_citac_e,no,0
EX_citm_e,no,0
EX_gam_e,yes,10
EX_salc_e,no,0
EX_4hbz_e,no,0
EX_glyclt_e,no,0
EX_itacon_e,no,0
EX_5dglcn_e,no,0
EX_malon_e,no,0
EX_oxa_e,no,0
EX_quin_e,no,0
EX_Dara14lac_e,yes,10
EX_sebacid_e,no,0
EX_tartr__D_e,no,0
EX_tartr__L_e,no,0
EX_ad_e,no,0
EX_acglu_e,no,0
EX_arg__L_e,no,0
EX_gly_e,no,0
EX_his__L_e,no,0
EX_hom__L_e,no,0
EX_4hpro_DC_e,no,0
EX_ile__L_e,no,0
EX_leu__L_e,no,0
EX_lys__L_e,no,0
EX_met__L_e,no,0
EX_orn__L_e,no,0
EX_phe__L_e,no,0
EX_5oxpro_e,no,0
EX_val__L_e,no,0
EX_crn_e,no,0
EX_ptrc_e,no,0
EX_dha_e,no,0
EX_btd_RR_e,no,0
EX_diact_e,no,0
EX_R_actn_e,no,0
EX_asp__L_e, no, 0
EX_gln__L_e, no, 0
EX_adn_e, no, 0
EX_ser__L_e, yes, 10
EX_thr__L_e, no, 0
EX_tym_e, no, 0
EX_pyr_e, no, 0
EX_ad_e, yes, 10
EX_trp__L_e, no, 0
EX_glyclt_e, yes, 10
EX_glu__D_e, yes, 10
EX_erthrs_e, yes, 10
EX_gua_e, yes, 10
EX_gsn_e, yes, 10
EX_rbl__B_e, yes, 10
EX_urea_e, yes, 10
